,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
4932,4933,93.0,0.0,USA,160000.0,155984.0,586,9.0,29.0,0,0.0,58.0,2.0,2.0,62,7.4,Good
3700,3701,94.0,0.0,USA,5000000.0,104007828.0,76828,314.0,251.0,24000,24.0,581.0,438.0,434.0,2371,5.8,Fair
2441,2442,112.0,0.0,USA,18000000.0,7837632.0,46396,287.0,124.0,0,0.0,805.0,223.0,177.0,1466,7.5,Good
491,492,145.0,1.0,USA,80000000.0,34566746.0,45231,315.0,162.0,0,79.0,981.0,274.0,183.0,1825,7.3,Good
3856,3857,106.0,0.0,USA,2000000.0,410241.0,32357,199.0,92.0,3000,68.0,835.0,601.0,391.0,2110,6.8,Good
3741,3742,82.0,5.0,USA,5000000.0,13350177.0,7904,113.0,74.0,562,7.0,1000.0,984.0,664.0,4856,3.8,Bad
3037,3038,122.0,0.0,UK,11000000.0,39025000.0,73193,190.0,77.0,0,0.0,276.0,258.0,191.0,903,7.6,Good
880,881,114.0,1.0,UK,55000000.0,16264475.0,54787,216.0,202.0,0,159.0,13000.0,2000.0,877.0,16899,6.9,Good
1982,1983,100.0,0.0,USA,25000000.0,10114315.0,18693,187.0,70.0,0,57.0,181.0,151.0,92.0,582,6.4,Good
208,209,101.0,0.0,USA,103000000.0,131536019.0,58498,99.0,159.0,0,107.0,688.0,237.0,56.0,1031,6.4,Good
4434,4435,90.0,3.0,USA,2000000.0,52166.0,2792,22.0,46.0,371,7.0,87000.0,781.0,711.0,89263,6.7,Good
1266,1267,136.0,3.0,USA,40000000.0,42615685.0,136093,416.0,303.0,24000,3000.0,14000.0,9000.0,3000.0,28927,6.1,Good
2416,2417,94.0,2.0,USA,25000000.0,30222640.0,36666,144.0,97.0,0,23.0,2000.0,1000.0,582.0,4868,5.3,Fair
1551,1552,93.0,3.0,USA,32000000.0,54696902.0,379462,571.0,522.0,56000,0.0,15000.0,491.0,355.0,16034,7.5,Good
969,970,144.0,0.0,USA,50000000.0,52822418.0,47764,219.0,204.0,44000,0.0,769.0,726.0,681.0,3580,7.4,Good
4762,4763,127.0,0.0,USA,500000.0,,16,3.0,,0,2.0,2.0,0.0,0.0,2,5.8,Fair
16,17,173.0,3.0,USA,220000000.0,623279547.0,995415,1722.0,703.0,123000,0.0,26000.0,21000.0,19000.0,87697,8.1,Excellent
184,185,117.0,6.0,USA,130000000.0,180191634.0,313866,549.0,517.0,61000,235.0,2000.0,2000.0,680.0,5730,7.4,Good
2280,2281,108.0,1.0,USA,22000000.0,12232937.0,22823,113.0,113.0,0,212.0,969.0,794.0,347.0,2799,5.6,Fair
974,975,129.0,1.0,USA,50000000.0,48265581.0,261069,506.0,157.0,25000,21000.0,495.0,294.0,283.0,1397,7.8,Good
2627,2628,88.0,1.0,USA,15000000.0,47811275.0,29008,99.0,69.0,896,189.0,934.0,927.0,799.0,3707,5.4,Fair
4761,4762,102.0,0.0,USA,,316842.0,15756,68.0,166.0,0,487.0,991.0,943.0,118.0,2099,6.4,Good
3720,3721,94.0,0.0,USA,5000000.0,19281235.0,3571,11.0,12.0,232,0.0,901.0,413.0,287.0,2523,5.1,Fair
2283,2284,102.0,2.0,UK,20000000.0,11169531.0,79855,235.0,248.0,0,1000.0,734.0,563.0,270.0,1778,6.4,Good
514,515,107.0,5.0,USA,76000000.0,127083765.0,191912,370.0,150.0,0,309.0,23000.0,787.0,771.0,25296,5.9,Fair
108,109,126.0,2.0,USA,155000000.0,89732035.0,188457,867.0,474.0,82000,230.0,24000.0,10000.0,2000.0,38873,6.6,Good
2017,2018,119.0,5.0,USA,25000000.0,109713132.0,61621,219.0,106.0,0,12000.0,12000.0,664.0,643.0,15449,7.3,Good
3647,3648,101.0,2.0,Canada,6000000.0,,1696,19.0,37.0,1000,24.0,933.0,767.0,130.0,1940,7.2,Good
4969,4970,77.0,0.0,USA,100000.0,,80,1.0,5.0,82,0.0,45.0,0.0,0.0,45,7.6,Good
3873,3874,89.0,6.0,UK,,6940281.0,43135,346.0,149.0,0,143.0,1000.0,146.0,100.0,1291,7.3,Good
3588,3589,98.0,3.0,USA,6000000.0,39800000.0,81599,250.0,71.0,0,11000.0,13000.0,573.0,484.0,14921,7.4,Good
1173,1174,100.0,1.0,New Zealand,45000000.0,5664251.0,22309,102.0,95.0,0,19.0,624.0,489.0,433.0,2056,6.3,Good
1677,1678,108.0,0.0,USA,30000000.0,23070045.0,47003,215.0,244.0,11000,24.0,2000.0,942.0,653.0,3892,5.9,Fair
3041,3042,110.0,5.0,USA,11000000.0,37766350.0,19440,56.0,109.0,0,107.0,664.0,551.0,549.0,3376,7.3,Good
4009,4010,98.0,4.0,USA,3500000.0,101228.0,7228,53.0,50.0,414,9.0,11000.0,8000.0,405.0,20009,6.4,Good
4030,4031,102.0,7.0,USA,3400000.0,,2116,13.0,17.0,0,19.0,632.0,144.0,80.0,1011,6.6,Good
631,632,124.0,0.0,USA,68000000.0,71069884.0,101899,445.0,141.0,0,0.0,22000.0,10000.0,580.0,32871,6.8,Good
1096,1097,110.0,2.0,Peru,45000000.0,57362581.0,50148,116.0,38.0,0,49.0,13000.0,279.0,20.0,13331,5.4,Fair
1850,1851,133.0,4.0,USA,26000000.0,33200000.0,28247,149.0,46.0,0,759.0,826.0,130.0,67.0,1154,7.2,Good
3818,3819,113.0,1.0,Czech Republic,84450000.0,617228.0,6183,27.0,99.0,1000,44.0,61.0,12.0,4.0,92,7.4,Good
3022,3023,106.0,0.0,USA,11000000.0,148170000.0,142293,245.0,183.0,14000,287.0,767.0,281.0,233.0,2053,7.2,Good
1074,1075,84.0,7.0,USA,48000000.0,110000082.0,111526,347.0,151.0,0,119.0,807.0,780.0,750.0,3629,5.5,Fair
4224,4225,120.0,0.0,USA,2280000.0,76400000.0,71321,230.0,99.0,3000,11.0,16.0,0.0,,16,7.8,Good
3593,3594,94.0,0.0,Germany,6000000.0,21005329.0,89128,258.0,96.0,0,12.0,16000.0,876.0,583.0,19341,6.4,Good
4049,4050,94.0,4.0,UK,3500000.0,16501785.0,469561,514.0,134.0,21000,0.0,2000.0,887.0,557.0,3559,8.2,Excellent
1399,1400,126.0,0.0,USA,35000000.0,251188924.0,269033,817.0,186.0,12000,13000.0,920.0,549.0,488.0,2725,7.6,Good
1491,1492,109.0,3.0,USA,35000000.0,10499968.0,47498,212.0,233.0,10000,453.0,1000.0,206.0,120.0,1458,5.7,Fair
3426,3427,114.0,2.0,China,,50000.0,322,2.0,11.0,81,29.0,163.0,20.0,11.0,219,5.1,Fair
10,11,169.0,0.0,USA,209000000.0,200069408.0,240396,2367.0,434.0,0,0.0,18000.0,10000.0,903.0,29991,6.1,Good
2879,2880,96.0,2.0,USA,11000000.0,3074838.0,56264,166.0,226.0,0,460.0,14000.0,153.0,73.0,14372,6.3,Good
3473,3474,112.0,5.0,Germany,,31973840.0,127760,168.0,160.0,0,20.0,16000.0,109.0,61.0,16289,7.2,Good
2514,2515,96.0,0.0,USA,17000000.0,54239856.0,125016,789.0,543.0,70000,201.0,394.0,150.0,58.0,673,6.5,Good
2371,2372,101.0,0.0,USA,20000000.0,39103378.0,93272,251.0,308.0,0,42.0,991.0,894.0,219.0,2609,6.5,Good
374,375,150.0,2.0,USA,90000000.0,100853835.0,200556,611.0,159.0,15000,0.0,11000.0,1000.0,135.0,12289,7.4,Good
4727,4728,97.0,0.0,USA,500000.0,17000000.0,3274,84.0,95.0,0,8.0,423.0,23.0,22.0,516,5.9,Fair
2026,2027,137.0,1.0,USA,24000000.0,41895491.0,63274,170.0,84.0,12000,0.0,12000.0,443.0,161.0,12947,7.6,Good
674,675,122.0,0.0,USA,65000000.0,52397389.0,132954,514.0,185.0,0,687.0,16000.0,1000.0,957.0,19764,5.9,Fair
804,805,106.0,3.0,Germany,60000000.0,17281832.0,60232,110.0,161.0,0,34.0,3000.0,1000.0,466.0,5329,6.1,Good
3690,3691,94.0,0.0,UK,4000000.0,,13227,70.0,187.0,11000,4.0,796.0,567.0,114.0,1832,6.3,Good
1287,1288,111.0,2.0,USA,40000000.0,20300000.0,16741,60.0,50.0,309,17.0,14000.0,940.0,889.0,17877,6.2,Good
410,411,122.0,3.0,USA,85000000.0,117144465.0,256928,288.0,238.0,0,0.0,14000.0,13000.0,11000.0,43499,6.9,Good
4563,4564,86.0,2.0,UK,1000000.0,1277257.0,2629,32.0,18.0,227,132.0,778.0,695.0,584.0,2400,6.8,Good
1350,1351,94.0,1.0,USA,30000000.0,71038190.0,23473,123.0,76.0,8000,99.0,598.0,557.0,377.0,3552,4.4,Fair
423,424,112.0,0.0,USA,60000000.0,31494270.0,273921,522.0,393.0,36000,1000.0,10000.0,1000.0,719.0,12687,7.5,Good
1866,1867,125.0,5.0,USA,25000000.0,219200000.0,181380,223.0,57.0,0,0.0,49000.0,1000.0,711.0,52201,6.9,Good
1894,1895,86.0,0.0,Germany,25000000.0,54098051.0,102861,571.0,216.0,0,70.0,440.0,346.0,318.0,2420,5.8,Fair
4156,4157,102.0,3.0,USA,2800000.0,22202612.0,291875,533.0,213.0,14000,149.0,695.0,421.0,357.0,2509,8.1,Excellent
1163,1164,119.0,0.0,USA,32000000.0,35228696.0,63677,460.0,166.0,0,89.0,650.0,537.0,395.0,1651,6.5,Good
204,205,143.0,3.0,USA,140000000.0,305388685.0,809474,2113.0,271.0,10000,563.0,40000.0,5000.0,1000.0,48184,8.1,Excellent
4012,4013,98.0,0.0,USA,3500000.0,,1634,11.0,15.0,127,0.0,368.0,168.0,31.0,668,6.1,Good
241,242,116.0,1.0,France,78000000.0,,20567,36.0,33.0,291,0.0,936.0,276.0,141.0,1609,5.1,Fair
4788,4789,133.0,15.0,Sweden,25000000.0,9910.0,13543,94.0,34.0,0,10.0,690.0,24.0,19.0,774,7.6,Good
4112,4113,173.0,3.0,USA,,,2011,33.0,10.0,518,,723.0,539.0,476.0,3149,5.0,Fair
1120,1121,134.0,3.0,USA,45000000.0,19377727.0,35140,409.0,168.0,0,38.0,11000.0,8000.0,2000.0,24351,6.4,Good
4771,4772,94.0,0.0,USA,150000.0,,60,2.0,3.0,381,0.0,918.0,402.0,212.0,2091,4.0,Bad
4093,4094,98.0,0.0,USA,3000000.0,3902679.0,3943,49.0,22.0,217,16.0,687.0,233.0,222.0,1806,5.3,Fair
1016,1017,102.0,3.0,USA,49900000.0,21557240.0,85237,274.0,208.0,18000,234.0,20000.0,11000.0,11000.0,45202,5.6,Fair
1484,1485,120.0,1.0,USA,35000000.0,18317151.0,55630,200.0,171.0,0,52.0,553.0,214.0,134.0,1082,6.7,Good
3951,3952,92.0,1.0,USA,4000000.0,12836.0,1686,28.0,12.0,161,19.0,18000.0,759.0,599.0,20135,5.8,Fair
3932,3933,83.0,1.0,USA,,1429260.0,45293,71.0,122.0,0,19.0,947.0,685.0,322.0,2353,6.6,Good
4109,4110,87.0,0.0,USA,3000000.0,252726.0,1289,18.0,5.0,76,84.0,702.0,366.0,331.0,2715,7.2,Good
3685,3686,90.0,0.0,USA,,,605,8.0,22.0,679,4.0,934.0,697.0,290.0,2030,6.2,Good
3176,3177,74.0,0.0,USA,10000000.0,6491350.0,1231,26.0,33.0,49,0.0,886.0,808.0,719.0,5139,5.8,Fair
1464,1465,140.0,2.0,USA,35000000.0,24276500.0,17124,68.0,32.0,949,0.0,436.0,263.0,210.0,1394,6.6,Good
4278,4279,101.0,0.0,USA,2000000.0,2506446.0,8662,172.0,108.0,134,0.0,8000.0,724.0,685.0,11327,4.7,Fair
2480,2481,94.0,1.0,France,24000000.0,39687528.0,140780,376.0,193.0,0,87.0,866.0,794.0,280.0,2124,6.3,Good
2146,2147,127.0,1.0,France,20000000.0,24104113.0,149066,517.0,466.0,24000,140.0,19000.0,14000.0,10000.0,46241,7.1,Good
1504,1505,135.0,1.0,France,,1877179.0,4885,25.0,28.0,262,22.0,837.0,541.0,45.0,1508,7.1,Good
982,983,141.0,1.0,USA,50000000.0,47105085.0,136973,275.0,276.0,47000,71.0,21000.0,3000.0,3000.0,30183,7.4,Good
4718,4719,87.0,1.0,UK,560000.0,515005.0,31429,219.0,105.0,0,44.0,785.0,725.0,704.0,2538,7.7,Good
1946,1947,7.0,0.0,UK,,,7968,12.0,12.0,834,,45.0,7.0,3.0,55,8.3,Excellent
3219,3220,101.0,0.0,France,60000000.0,231417.0,1649,21.0,34.0,33,324.0,678.0,541.0,28.0,1256,6.6,Good
465,466,88.0,1.0,USA,80000000.0,90443603.0,112167,123.0,46.0,0,30.0,13000.0,967.0,366.0,15001,6.3,Good
2372,2373,125.0,0.0,Japan,19000000.0,10049886.0,417971,902.0,246.0,28000,6000.0,17.0,10.0,7.0,44,8.6,Excellent
3768,3769,90.0,0.0,USA,,4328294.0,2719,41.0,43.0,249,7.0,2000.0,847.0,701.0,5900,5.4,Fair
698,699,141.0,1.0,USA,62000000.0,122012710.0,69663,133.0,42.0,0,176.0,11000.0,913.0,672.0,14178,6.9,Good
734,735,170.0,0.0,USA,60000000.0,75370763.0,32353,263.0,96.0,0,0.0,19000.0,1000.0,380.0,20683,6.5,Good
1571,1572,102.0,0.0,USA,32000000.0,17797316.0,50523,113.0,167.0,0,8.0,839.0,730.0,472.0,2961,6.3,Good
3769,3770,41.0,0.0,UK,5000000.0,4074023.0,296,4.0,7.0,89,0.0,55.0,0.0,0.0,55,6.9,Good
282,283,171.0,0.0,USA,103000000.0,187670866.0,982637,2368.0,265.0,21000,0.0,3000.0,933.0,695.0,6521,8.5,Excellent
2228,2229,104.0,1.0,USA,20000000.0,31584722.0,101730,131.0,180.0,0,14.0,2000.0,934.0,756.0,5707,6.4,Good
2658,2659,124.0,0.0,USA,15000000.0,27441122.0,14322,116.0,68.0,0,107.0,1000.0,886.0,865.0,5135,7.2,Good
1445,1446,102.0,1.0,USA,,,16323,91.0,40.0,0,23.0,288.0,257.0,57.0,677,7.3,Good
2150,2151,115.0,0.0,Canada,31000000.0,2840417.0,77493,527.0,196.0,6000,0.0,1000.0,900.0,716.0,2990,6.8,Good
2308,2309,106.0,0.0,Mexico,20000000.0,6420319.0,15978,122.0,45.0,15000,38.0,1000.0,1000.0,975.0,5705,7.4,Good
4310,4311,92.0,2.0,UK,14000.0,12667.0,19336,90.0,34.0,0,11.0,26000.0,11000.0,1000.0,39518,6.6,Good
3347,3348,128.0,2.0,India,,1207007.0,13577,47.0,15.0,341,11.0,3000.0,687.0,119.0,4004,7.3,Good
640,641,128.0,1.0,USA,70000000.0,39380442.0,174248,263.0,238.0,0,0.0,29000.0,149.0,135.0,29824,7.1,Good
3203,3204,101.0,0.0,USA,10000000.0,1631839.0,5936,91.0,49.0,242,3.0,14000.0,1000.0,826.0,17665,5.7,Fair
1113,1114,119.0,0.0,USA,35000000.0,22877808.0,152591,414.0,323.0,0,0.0,29000.0,14000.0,10000.0,53895,7.3,Good
881,882,93.0,0.0,USA,62000000.0,25857987.0,110614,532.0,178.0,0,45.0,9000.0,460.0,352.0,10185,5.5,Fair
861,862,133.0,0.0,USA,55000000.0,68750000.0,40858,144.0,60.0,0,53.0,1000.0,780.0,263.0,2916,6.4,Good
1808,1809,118.0,4.0,USA,25000000.0,30920167.0,6476,71.0,98.0,0,650.0,1000.0,773.0,715.0,3389,5.7,Fair
652,653,150.0,0.0,USA,65000000.0,182204440.0,197412,720.0,538.0,71000,14000.0,23000.0,826.0,655.0,25517,7.4,Good
3824,3825,121.0,0.0,USA,5000000.0,1729969.0,68211,219.0,359.0,14000,337.0,982.0,463.0,41.0,1520,7.4,Good
2112,2113,104.0,0.0,USA,22000000.0,5974653.0,2253,111.0,18.0,158,53.0,2000.0,595.0,576.0,4221,4.1,Fair
2282,2283,93.0,0.0,USA,20000000.0,11784000.0,6701,26.0,5.0,444,18.0,400.0,220.0,181.0,1151,4.3,Fair
976,977,118.0,1.0,USA,50000000.0,44737059.0,48322,261.0,118.0,0,41.0,18000.0,4000.0,585.0,24024,6.5,Good
4767,4768,122.0,0.0,USA,,,292,16.0,1.0,353,406.0,358.0,317.0,152.0,1038,2.2,Bad
4390,4391,84.0,0.0,USA,2000000.0,6026908.0,536,13.0,16.0,43,11.0,489.0,469.0,249.0,2196,4.3,Fair
52,53,154.0,2.0,USA,195000000.0,352358779.0,326180,899.0,428.0,46000,0.0,894.0,829.0,581.0,2593,6.3,Good
4540,4541,90.0,0.0,USA,1000000.0,10042266.0,23021,220.0,137.0,816,65.0,1000.0,989.0,683.0,3155,5.9,Fair
3993,3994,121.0,1.0,USA,3500000.0,,5941,74.0,22.0,470,22.0,606.0,481.0,367.0,2402,7.0,Good
1341,1342,100.0,1.0,USA,38000000.0,85570368.0,44885,107.0,103.0,478,0.0,12000.0,2000.0,1000.0,18291,5.1,Fair
4186,4187,75.0,0.0,USA,2500000.0,32230907.0,6062,30.0,26.0,0,15.0,1000.0,309.0,36.0,1385,6.7,Good
85,86,136.0,1.0,USA,170000000.0,259746958.0,496749,742.0,576.0,55000,94.0,19000.0,11000.0,2000.0,36188,7.8,Good
4290,4291,89.0,0.0,USA,2000000.0,653621.0,5615,64.0,123.0,592,13.0,373.0,334.0,218.0,1136,6.8,Good
136,137,110.0,2.0,USA,180000000.0,124051759.0,42372,239.0,248.0,29000,282.0,11000.0,10000.0,103.0,21175,6.6,Good
1219,1220,137.0,0.0,USA,65000000.0,115603980.0,103589,351.0,322.0,35000,11000.0,769.0,698.0,465.0,2938,7.2,Good
2034,2035,95.0,1.0,USA,24000000.0,16964743.0,22844,140.0,84.0,876,126.0,2000.0,989.0,886.0,4681,5.6,Fair
4860,4861,76.0,1.0,Australia,250000.0,212285.0,1727,21.0,21.0,46,0.0,991.0,575.0,62.0,1661,6.4,Good
345,346,107.0,0.0,USA,90000000.0,71148699.0,68935,125.0,198.0,0,70.0,770.0,419.0,330.0,1614,6.6,Good
4254,4255,102.0,1.0,Hong Kong,2000000.0,11546543.0,34520,146.0,77.0,0,32.0,483.0,147.0,75.0,768,7.6,Good
3486,3487,89.0,0.0,USA,7000000.0,15818967.0,13913,120.0,137.0,0,14.0,971.0,479.0,270.0,2517,4.0,Bad
3274,3275,92.0,0.0,Australia,8500000.0,,13003,80.0,54.0,10000,25.0,509.0,446.0,110.0,1248,7.5,Good
3844,3845,115.0,0.0,USA,4500000.0,,13474,115.0,42.0,0,1000.0,232.0,169.0,68.0,588,7.4,Good
933,934,143.0,2.0,USA,50000000.0,2175312.0,131227,346.0,272.0,41000,285.0,11000.0,8000.0,7000.0,28176,6.3,Good
284,285,174.0,1.0,UK,100000000.0,261970615.0,387616,858.0,232.0,0,0.0,11000.0,10000.0,9000.0,35672,7.4,Good
3451,3452,115.0,0.0,Germany,6500000.0,54557348.0,361169,1624.0,287.0,18000,549.0,3000.0,912.0,911.0,5732,7.9,Good
1956,1957,90.0,2.0,UK,25000000.0,15091542.0,4086,22.0,19.0,246,48.0,940.0,595.0,376.0,2465,5.3,Fair
4496,4497,83.0,1.0,USA,,,1047,25.0,7.0,548,9.0,94.0,62.0,51.0,293,6.5,Good
4046,4047,110.0,2.0,UK,3000000.0,51100000.0,139432,418.0,164.0,0,82.0,387.0,202.0,177.0,1198,7.8,Good
4416,4417,112.0,1.0,USA,1500000.0,712294.0,9408,68.0,75.0,608,58.0,552.0,265.0,42.0,859,6.7,Good
3939,3940,102.0,0.0,USA,1300000.0,354704.0,2705,38.0,68.0,314,212.0,10000.0,633.0,195.0,11083,5.9,Fair
3198,3199,93.0,1.0,USA,10000000.0,26583369.0,20837,127.0,185.0,10000,4.0,533.0,35.0,4.0,578,4.8,Fair
4280,4281,22.0,3.0,USA,,,4181,62.0,8.0,558,,459.0,396.0,344.0,1359,8.1,Excellent
3639,3640,107.0,0.0,UK,6000000.0,54606.0,1940,34.0,47.0,30,11.0,773.0,766.0,419.0,2440,6.2,Good
3189,3190,111.0,0.0,USA,10000000.0,3333823.0,5612,122.0,23.0,0,60.0,823.0,759.0,699.0,5262,5.5,Fair
513,514,91.0,2.0,USA,79000000.0,74158157.0,60370,264.0,156.0,0,221.0,14000.0,11000.0,553.0,27405,3.4,Bad
1923,1924,101.0,2.0,USA,30000000.0,34604054.0,34942,185.0,109.0,1000,43.0,5000.0,618.0,432.0,6867,5.8,Fair
5017,5018,120.0,1.0,USA,20000.0,,2986,49.0,5.0,725,589.0,51.0,49.0,4.0,108,6.9,Good
1975,1976,99.0,1.0,USA,25000000.0,11100000.0,92464,331.0,180.0,19000,0.0,400.0,223.0,52.0,896,7.3,Good
94,95,121.0,3.0,USA,170000000.0,333130696.0,682155,1097.0,653.0,96000,571.0,14000.0,14000.0,3000.0,32438,8.1,Excellent
2830,2831,108.0,0.0,UK,,2605039.0,85022,616.0,454.0,29000,143.0,19000.0,50.0,21.0,19086,6.3,Good
