age;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
20;oct;mon;137;3;999;3;failure;-1.1;94.601;-49.5;0.977;4963.6
35;may;tue;31;1;999;0;nonexistent;-1.8;92.893;-46.2;1.344;5099.1
38;jun;fri;430;1;999;0;nonexistent;1.4;94.465;-41.8;4.967;5228.1
76;aug;thu;126;1;999;1;failure;-1.7;94.027;-38.3;0.899;4991.6
45;jul;tue;211;3;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
32;may;fri;340;1;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1
39;may;thu;412;2;999;0;nonexistent;-1.8;92.893;-46.2;1.327;5099.1
32;nov;thu;132;1;999;0;nonexistent;-0.1;93.2;-42;4.592;5195.8
29;may;mon;79;2;999;0;nonexistent;-1.8;92.893;-46.2;1.299;5099.1
44;aug;mon;341;2;999;0;nonexistent;1.4;93.444;-36.1;4.97;5228.1
32;jul;fri;157;3;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1
56;jun;wed;252;1;999;2;failure;-2.9;92.963;-40.8;1.26;5076.2
33;may;thu;263;1;999;0;nonexistent;-1.8;92.893;-46.2;1.327;5099.1
39;aug;fri;215;3;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1
24;sep;tue;89;2;3;1;success;-3.4;92.379;-29.8;0.77;5017.5
33;may;thu;143;1;999;0;nonexistent;-1.8;92.893;-46.2;1.327;5099.1
58;jun;thu;40;2;999;0;nonexistent;1.4;94.465;-41.8;4.866;5228.1
29;jun;fri;10;27;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
31;aug;thu;113;1;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
27;may;wed;191;5;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
60;sep;wed;481;1;999;1;failure;-1.1;94.199;-37.5;0.886;4963.6
55;oct;mon;233;1;999;2;failure;-3.4;92.431;-26.9;0.739;5017.5
37;may;wed;204;2;999;0;nonexistent;-1.8;92.893;-46.2;1.334;5099.1
52;apr;wed;403;1;6;1;success;-1.8;93.749;-34.6;0.654;5008.7
46;apr;mon;180;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
42;may;wed;16;2;999;0;nonexistent;-1.8;92.893;-46.2;1.281;5099.1
35;jul;mon;447;3;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
49;oct;thu;81;1;999;0;nonexistent;-3.4;92.431;-26.9;0.754;5017.5
29;jun;mon;361;3;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1
32;nov;mon;1091;2;5;1;success;-0.1;93.2;-42;4.191;5195.8
37;may;fri;395;1;999;1;failure;-1.8;92.893;-46.2;1.313;5099.1
39;jun;mon;432;4;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1
51;jul;mon;596;3;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
28;may;tue;59;3;999;0;nonexistent;-1.8;92.893;-46.2;1.291;5099.1
34;may;wed;77;4;999;0;nonexistent;-1.8;92.893;-46.2;1.281;5099.1
31;aug;tue;768;1;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1
31;aug;thu;96;5;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1
31;jun;wed;357;2;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1
38;may;thu;459;2;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191
33;jun;fri;11;6;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
32;aug;tue;264;12;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1
54;apr;mon;698;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
41;jun;tue;204;2;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1
59;aug;thu;93;7;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
57;apr;thu;374;1;2;1;success;-1.8;93.075;-47.1;1.365;5099.1
38;nov;thu;252;1;999;0;nonexistent;-0.1;93.2;-42;4.076;5195.8
46;may;tue;158;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;nov;tue;95;1;999;0;nonexistent;-0.1;93.2;-42;4.153;5195.8
47;jun;thu;835;3;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1
45;aug;thu;505;1;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
36;jul;wed;16;1;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
40;jul;mon;300;5;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
38;nov;tue;180;2;999;1;failure;-0.1;93.2;-42;4.153;5195.8
44;jun;tue;390;2;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1
25;may;fri;274;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
30;jul;tue;135;5;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
43;nov;tue;257;2;999;0;nonexistent;-0.1;93.2;-42;4.153;5195.8
58;may;mon;268;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
31;may;wed;157;6;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191
53;jul;tue;477;2;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
52;aug;tue;91;1;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1
